id,year,period,value,footnotes
CUUR0000SA0,2024,M01,308.417,
CUUR0000SA0,2024,M02,310.326,
CUUR0000SA0,2024,M03,312.332,
CUUR0000SA0,2024,M04,313.548,
CUUR0000SA0,2024,M05,314.069,
CUUR0000SA0,2024,M06,314.175,
CUUR0000SA0,2024,M07,314.54,
CUUR0000SA0,2024,M08,314.796,
CUUR0000SA0,2024,M09,315.301,
CUUR0000SA0,2024,M10,315.664,
CUUR0000SA0,2024,M11,315.493,
CUUR0000SA0,2024,M12,315.605,
CUUR0000SA0,2025,M01,317.671,
CUUR0000SA0,2025,M02,319.082,
CUUR0000SA0,2025,M03,319.799,
CUUR0000SA0,2025,M04,320.795,
CUUR0000SA0,2025,M05,321.465,
CUUR0000SA0,2025,M06,322.561,
CUUR0000SA0,2025,M07,323.048,
CUUR0000SA0,2025,M08,323.976,
CUUR0000SA0,2025,M09,324.800,
