id,year,period,value,footnotes
LNS14000000,2024,M01,3.7,
LNS14000000,2024,M02,3.9,
LNS14000000,2024,M03,3.9,
LNS14000000,2024,M04,3.9,
LNS14000000,2024,M05,4.0,
LNS14000000,2024,M06,4.1,
LNS14000000,2024,M07,4.2,
LNS14000000,2024,M08,4.2,
LNS14000000,2024,M09,4.1,
LNS14000000,2024,M10,4.1,
LNS14000000,2024,M11,4.2,
LNS14000000,2024,M12,4.1,
LNS14000000,2025,M01,4.0,
LNS14000000,2025,M02,4.1,
LNS14000000,2025,M03,4.2,
LNS14000000,2025,M04,4.2,
LNS14000000,2025,M05,4.2,
LNS14000000,2025,M06,4.1,
LNS14000000,2025,M07,4.2,
LNS14000000,2025,M08,4.3,
LNS14000000,2025,M09,4.4,
LNS14000000,2025,M10,-,Data unavailable due to the 2025 lapse in appropriations.
LNS14000000,2025,M11,4.6,
